,Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32,Col_33,Col_34
0,ר,ג,ל,י,ו,א,ל,ה,מ,ט,ה,ו,י,ג,ו,ע,ו,י,א,ס,ף,א,ל,ע,מ,י,ו,ו,י,פ,ל,י,ו,ס,ף
1,ע,ל,פ,נ,י,א,ב,י,ו,ו,י,ב,ך,ע,ל,י,ו,ו,י,ש,ק,ל,ו,ו,י,צ,ו,י,ו,ס,ף,א,ת,ע,ב
2,ד,י,ו,א,ת,ה,ר,פ,א,י,ם,ל,ח,נ,ט,א,ת,א,ב,י,ו,ו,י,ח,נ,ט,ו,ה,ר,פ,א,י,ם,א,ת
3,י,ש,ר,א,ל,ו,י,מ,ל,א,ו,ל,ו,א,ר,ב,ע,י,ם,י,ו,ם,כ,י,כ,ן,י,מ,ל,א,ו,י,מ,י,ה
4,ח,נ,ט,י,ם,ו,י,ב,כ,ו,א,ת,ו,מ,צ,ר,י,ם,ש,ב,ע,י,ם,י,ו,ם,ו,י,ע,ב,ר,ו,י,מ,י
5,ב,כ,י,ת,ו,ו,י,ד,ב,ר,י,ו,ס,ף,א,ל,ב,י,ת,פ,ר,ע,ה,ל,א,מ,ר,א,ם,נ,א,מ,צ,א,ת
6,י,ח,ן,ב,ע,י,נ,י,כ,ם,ד,ב,ר,ו,נ,א,ב,א,ז,נ,י,פ,ר,ע,ה,ל,א,מ,ר,א,ב,י,ה,ש,ב
7,י,ע,נ,י,ל,א,מ,ר,ה,נ,ה,א,נ,כ,י,מ,ת,ב,ק,ב,ר,י,א,ש,ר,כ,ר,י,ת,י,ל,י,ב,א,ר
8,ץ,כ,נ,ע,ן,ש,מ,ה,ת,ק,ב,ר,נ,י,ו,ע,ת,ה,א,ע,ל,ה,נ,א,ו,א,ק,ב,ר,ה,א,ת,א,ב,י
9,ו,א,ש,ו,ב,ה,ו,י,א,מ,ר,פ,ר,ע,ה,ע,ל,ה,ו,ק,ב,ר,א,ת,א,ב,י,ך,כ,א,ש,ר,ה,ש,ב
10,י,ע,ך,ו,י,ע,ל,י,ו,ס,ף,ל,ק,ב,ר,א,ת,א,ב,י,ו,ו,י,ע,ל,ו,א,ת,ו,כ,ל,ע,ב,ד,י
11,פ,ר,ע,ה,ז,ק,נ,י,ב,י,ת,ו,ו,כ,ל,ז,ק,נ,י,א,ר,ץ,מ,צ,ר,י,ם,ו,כ,ל,ב,י,ת,י,ו
12,ס,ף,ו,א,ח,י,ו,ו,ב,י,ת,א,ב,י,ו,ר,ק,ט,פ,ם,ו,צ,א,נ,ם,ו,ב,ק,ר,ם,ע,ז,ב,ו,ב
13,א,ר,ץ,ג,ש,ן,ו,י,ע,ל,ע,מ,ו,ג,ם,ר,כ,ב,ג,ם,פ,ר,ש,י,ם,ו,י,ה,י,ה,מ,ח,נ,ה,כ
14,ב,ד,מ,א,ד,ו,י,ב,א,ו,ע,ד,ג,ר,ן,ה,א,ט,ד,א,ש,ר,ב,ע,ב,ר,ה,י,ר,ד,ן,ו,י,ס,פ
15,ד,ו,ש,ם,מ,ס,פ,ד,ג,ד,ו,ל,ו,כ,ב,ד,מ,א,ד,ו,י,ע,ש,ל,א,ב,י,ו,א,ב,ל,ש,ב,ע,ת
16,י,מ,י,ם,ו,י,ר,א,י,ו,ש,ב,ה,א,ר,ץ,ה,כ,נ,ע,נ,י,א,ת,ה,א,ב,ל,ב,ג,ר,ן,ה,א,ט
17,ד,ו,י,א,מ,ר,ו,א,ב,ל,כ,ב,ד,ז,ה,ל,מ,צ,ר,י,ם,ע,ל,כ,ן,ק,ר,א,ש,מ,ה,א,ב,ל,מ
18,צ,ר,י,ם,א,ש,ר,ב,ע,ב,ר,ה,י,ר,ד,ן,ו,י,ע,ש,ו,ב,נ,י,ו,ל,ו,כ,ן,כ,א,ש,ר,צ,ו
19,ם,ו,י,ש,א,ו,א,ת,ו,ב,נ,י,ו,א,ר,צ,ה,כ,נ,ע,ן,ו,י,ק,ב,ר,ו,א,ת,ו,ב,מ,ע,ר,ת
20,ש,ד,ה,ה,מ,כ,פ,ל,ה,א,ש,ר,ק,נ,ה,א,ב,ר,ה,ם,א,ת,ה,ש,ד,ה,ל,א,ח,ז,ת,ק,ב,ר,מ
21,א,ת,ע,פ,ר,ן,ה,ח,ת,י,ע,ל,פ,נ,י,מ,מ,ר,א,ו,י,ש,ב,י,ו,ס,ף,מ,צ,ר,י,מ,ה,ה,ו
22,א,ו,א,ח,י,ו,ו,כ,ל,ה,ע,ל,י,ם,א,ת,ו,ל,ק,ב,ר,א,ת,א,ב,י,ו,א,ח,ר,י,ק,ב,ר,ו
23,א,ת,א,ב,י,ו,ו,י,ר,א,ו,א,ח,י,י,ו,ס,ף,כ,י,מ,ת,א,ב,י,ה,ם,ו,י,א,מ,ר,ו,ל,ו
24,י,ש,ט,מ,נ,ו,י,ו,ס,ף,ו,ה,ש,ב,י,ש,י,ב,ל,נ,ו,א,ת,כ,ל,ה,ר,ע,ה,א,ש,ר,ג,מ,ל
25,נ,ו,א,ת,ו,ו,י,צ,ו,ו,א,ל,י,ו,ס,ף,ל,א,מ,ר,א,ב,י,ך,צ,ו,ה,ל,פ,נ,י,מ,ו,ת,ו
26,ל,א,מ,ר,כ,ה,ת,א,מ,ר,ו,ל,י,ו,ס,ף,א,נ,א,ש,א,נ,א,פ,ש,ע,א,ח,י,ך,ו,ח,ט,א,ת
27,ם,כ,י,ר,ע,ה,ג,מ,ל,ו,ך,ו,ע,ת,ה,ש,א,נ,א,ל,פ,ש,ע,ע,ב,ד,י,א,ל,ה,י,א,ב,י,ך
28,ו,י,ב,ך,י,ו,ס,ף,ב,ד,ב,ר,ם,א,ל,י,ו,ו,י,ל,כ,ו,ג,ם,א,ח,י,ו,ו,י,פ,ל,ו,ל,פ
29,נ,י,ו,ו,י,א,מ,ר,ו,ה,נ,נ,ו,ל,ך,ל,ע,ב,ד,י,ם,ו,י,א,מ,ר,א,ל,ה,ם,י,ו,ס,ף,א
