Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage Of Text as %
א;7634;78064;0.0977915556466489;9.77915556466489
ב;4332;78064;0.05549292887886862;5.549292887886862
ג;577;78064;0.007391371182619389;0.739137118261939
ד;1848;78064;0.023672883787661407;2.3672883787661405
ה;6283;78064;0.08048524287763886;8.048524287763886
ו;8448;78064;0.10821889731502357;10.821889731502358
ז;428;78064;0.005482680877228941;0.548268087722894
ח;1844;78064;0.023621643779463006;2.3621643779463004
ט;308;78064;0.003945480631276901;0.3945480631276901
י;9035;78064;0.11573836851813896;11.573836851813896
כ;1909;78064;0.024454293912687025;2.4454293912687026
ך;865;78064;0.011080651772904284;1.1080651772904284
כ/ך;2774;78064;0.03553494568559131;3.553494568559131
ל;5275;78064;0.06757276081164174;6.757276081164173
מ;3421;78064;0.04382301701168272;4.382301701168272
ם;2689;78064;0.03444609551137528;3.444609551137528
מ/ם;6110;78064;0.078269112523058;7.8269112523058
נ;2776;78064;0.03556056568969051;3.556056568969051
ן;1009;78064;0.012925292068046731;1.2925292068046732
נ/ן;3785;78064;0.04848585775773724;4.848585775773724
ס;446;78064;0.005713260914121747;0.5713260914121746
ע;2823;78064;0.036162635786021725;3.6162635786021724
פ;890;78064;0.011400901824144292;1.1400901824144292
ף;313;78064;0.0040095306415249025;0.40095306415249027
פ/ף;1203;78064;0.015410432465669194;1.5410432465669195
צ;740;78064;0.009479401516704242;0.9479401516704242
ץ;351;78064;0.004496310719409715;0.44963107194097146
צ/ץ;1091;78064;0.013975712236113958;1.3975712236113957
ק;1301;78064;0.016665812666530028;1.6665812666530027
ר;4793;78064;0.06139833982373437;6.139833982373437
ש;3574;78064;0.04578294732527157;4.578294732527157
ת;4152;78064;0.05318712850994056;5.318712850994056
