(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(45721, -84, 5);[50, 400, 50, 1, 30];531;נתנאל;12191;(1, 31, 41, 11, 12191);בנתיך;2;(1, 31, 41, 40, 45721);זה לי עשרים שנה בביתך עבדתיך ארבע עשרה שנה בשתי בנתיך ושש שנים בצאנך ותחלף את משכרתי עשרת מנים
(55098, -81, 5);[50, 400, 50, 1, 30];531;נתנאל;14661;(1, 37, 20, 7, 14661);ואמרנו;5;(1, 37, 20, 35, 55098);ועתה לכו ונהרגהו ונשלכהו באחד הברות ואמרנו חיה רעה אכלתהו ונראה מה יהיו חלמתיו
(42696, -61, 5);[50, 400, 50, 1, 30];531;נתנאל;11383;(1, 30, 27, 10, 11383);ויברכני;6;(1, 30, 27, 40, 42696);ויאמר אליו לבן אם נא מצאתי חן בעיניך נחשתי ויברכני יהוה בגללך
(3111, -53, 5);[50, 400, 50, 1, 30];531;נתנאל;821;(1, 3, 5, 7, 821);ממנו;3;(1, 3, 5, 24, 3111);כי ידע אלהים כי ביום אכלכם ממנו ונפקחו עיניכם והייתם כאלהים ידעי טוב ורע
(68227, -44, 5);[50, 400, 50, 1, 30];531;נתנאל;18055;(1, 44, 23, 13, 18055);פני;2;(1, 44, 23, 46, 68227);ותאמר אל עבדיך אם לא ירד אחיכם הקטן אתכם לא תספון לראות פני
(42291, -38, 5);[50, 400, 50, 1, 30];531;נתנאל;11275;(1, 30, 18, 7, 11275);נתתי;1;(1, 30, 18, 24, 42291);ותאמר לאה נתן אלהים שכרי אשר נתתי שפחתי לאישי ותקרא שמו יששכר
(46230, -38, 5);[50, 400, 50, 1, 30];531;נתנאל;12327;(1, 31, 51, 2, 12327);לבן;3;(1, 31, 51, 8, 46230);ויאמר לבן ליעקב הנה הגל הזה והנה המצבה אשר יריתי ביני ובינך
(4968, -21, 5);[50, 400, 50, 1, 30];531;נתנאל;1320;(1, 4, 17, 10, 1320);בנה;2;(1, 4, 17, 33, 4968);וידע קין את אשתו ותהר ותלד את חנוך ויהי בנה עיר ויקרא שם העיר כשם בנו חנוך
(43925, -1, 5);[50, 400, 50, 1, 30];531;נתנאל;11701;(1, 31, 7, 10, 11701);נתנו;3;(1, 31, 7, 38, 43925);ואביכן התל בי והחלף את משכרתי עשרת מנים ולא נתנו אלהים להרע עמדי
(56670, -1, 5);[50, 400, 50, 1, 30];531;נתנאל;15067;(1, 38, 14, 22, 15067);נתנה;3;(1, 38, 14, 84, 56670);ותסר בגדי אלמנותה מעליה ותכס בצעיף ותתעלף ותשב בפתח עינים אשר על דרך תמנתה כי ראתה כי גדל שלה והוא לא נתנה לו לאשה
